MSZoning,LotArea,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplace,GarageArea,SaleCondition,SalePrice
RL,11207,1Fam,2Story,6,5,1997,Y,1511,2,1,3,1,TA,Y,413,Normal,185000
RL,8400,1Fam,2.5Fin,5,8,1939,Y,2192,2,1,4,1,Gd,Y,240,Normal,179500
RM,6900,1Fam,1Story,5,6,1940,Y,778,1,0,2,1,TA,Y,924,Normal,120500
RL,7917,1Fam,1Story,6,7,1976,Y,1113,1,1,3,1,TA,Y,504,Normal,148000
FV,10728,1Fam,2Story,8,5,2006,Y,1939,2,1,3,1,Gd,Y,1053,Partial,266000
RL,39104,1Fam,1Story,7,7,1954,Y,1363,1,0,2,1,TA,Y,439,Normal,241500
RL,11764,1Fam,2Story,8,7,1999,Y,2270,2,1,4,1,Gd,Y,671,Normal,290000
RL,9600,1Fam,1Story,6,6,1958,Y,1632,2,0,3,1,TA,Y,338,Normal,139000
RL,8314,1Fam,1Story,5,7,1982,Y,816,1,0,2,1,TA,N,264,Normal,124500
RL,7264,1Fam,1.5Fin,7,7,1925,N,1548,2,1,3,1,Ex,N,672,Normal,205000
RL,9196,1Fam,1Story,7,5,2003,Y,1560,2,0,3,1,Gd,N,573,Normal,201000
RL,19138,1Fam,1Story,4,5,1951,Y,864,1,0,2,1,TA,N,400,Normal,141000
RL,14450,1Fam,1Story,9,5,2006,Y,2121,2,1,3,1,Ex,Y,732,Partial,415298
RL,10005,1Fam,2Story,7,5,1977,Y,2022,2,1,4,1,TA,Y,505,Normal,192000
RL,11287,1Fam,2Story,7,6,1989,Y,1982,2,1,3,1,Gd,Y,575,Normal,228500
FV,7200,1Fam,1Story,6,5,2006,Y,1262,2,0,2,1,Gd,N,572,Partial,185000
RL,5063,Twnhs,1Story,7,5,2007,Y,1314,2,0,2,1,Gd,Y,626,Normal,207500
RL,9612,1Fam,1Story,8,5,2008,Y,1468,2,0,3,1,Gd,Y,898,Partial,244600
RL,8012,TwnhsE,1Story,6,5,1992,Y,1575,2,0,2,1,Gd,N,529,Normal,179200
FV,4251,TwnhsE,2Story,7,5,2006,Y,1250,2,1,2,1,Gd,N,528,Partial,164700
RL,9786,1Fam,1.5Fin,6,7,1962,Y,1734,1,1,3,1,Gd,Y,440,Normal,159000
RL,8125,1Fam,1Story,4,4,1971,Y,858,1,0,3,1,TA,N,0,Normal,88000
RL,9819,1Fam,1Story,5,5,1967,Y,900,1,0,3,1,TA,N,280,Normal,122000
RL,8730,1Fam,2Story,6,7,1915,Y,1396,1,0,3,1,TA,N,384,Normal,153575
RL,15611,1Fam,2Story,8,5,2006,Y,1919,2,1,3,1,Gd,Y,685,Partial,233230
RL,5687,2fmCon,2Story,5,6,1912,N,1716,2,0,6,1,Fa,N,0,Normal,135900
RL,11409,1Fam,1.5Fin,5,4,1949,Y,1716,1,1,3,1,TA,Y,281,Normal,131000
RL,16659,1Fam,2Story,7,7,1977,Y,2263,2,1,3,1,Gd,Y,539,Normal,235000
RL,9600,1Fam,1Story,6,5,1953,Y,1644,1,0,3,1,TA,Y,418,Normal,167000
RL,7937,1Fam,SLvl,6,6,1984,Y,1003,1,0,3,1,TA,N,588,Normal,142500
RM,13710,1Fam,1.5Fin,5,5,1950,Y,1558,1,1,4,1,TA,N,282,Normal,152000
FV,7399,1Fam,2Story,7,5,1997,Y,1950,2,1,3,1,Gd,Y,576,Normal,239000
RL,11700,1Fam,2Story,6,6,1968,Y,1743,1,2,3,1,TA,Y,539,Normal,175000
RL,14000,1Fam,1Story,6,8,1950,Y,1152,1,0,3,1,Gd,Y,300,Family,158500
RL,15750,2fmCon,1Story,5,5,1953,Y,1336,1,0,2,1,TA,Y,375,Normal,157000
RL,16226,1Fam,2Story,8,5,1998,Y,2452,2,1,4,1,Gd,Y,683,Normal,267000
RL,13704,1Fam,1Story,7,5,2001,Y,1541,2,0,3,1,Gd,Y,843,Normal,205000
RL,9800,1Fam,1Story,5,7,1972,Y,894,1,0,3,1,TA,N,552,Abnorml,149900
RM,18386,1Fam,2.5Fin,7,9,1880,Y,3493,3,0,3,1,Gd,Y,870,Normal,295000
RL,10386,1Fam,1Story,8,5,2004,Y,2000,2,0,3,1,Gd,N,888,Normal,305900
RL,13474,1Fam,2Story,7,5,1990,Y,2243,2,1,4,1,Gd,Y,746,Normal,225000
RM,7920,1Fam,1.5Fin,6,7,1920,Y,1406,1,0,3,1,Fa,N,0,Normal,89500
RL,12342,1Fam,1Story,4,5,1940,Y,861,1,0,1,1,TA,N,539,Normal,82500
RL,12378,1Fam,1Story,9,5,2003,Y,1944,2,0,3,1,Ex,Y,708,Normal,360000
RL,7685,1Fam,2Story,6,5,1993,Y,1501,2,1,3,1,Gd,Y,420,Normal,165600
RL,8000,1Fam,1Story,6,6,1948,Y,972,1,0,2,1,TA,Y,240,Normal,132000
RM,7800,2fmCon,1.5Fin,5,7,1939,Y,1118,1,0,3,1,TA,Y,410,Normal,119900
RL,215245,1Fam,1Story,7,5,1965,Y,2036,2,0,3,1,TA,Y,513,Normal,375000
RM,9600,1Fam,2Story,7,7,1925,Y,1641,1,1,3,1,Ex,Y,546,Normal,178000
RL,7795,1Fam,2Story,7,5,2004,Y,1432,2,1,3,1,Gd,Y,432,Normal,188500
RL,13005,1Fam,2Story,7,7,1980,Y,2353,2,1,4,1,Ex,Y,484,Normal,260000
FV,9000,1Fam,2Story,8,5,2006,Y,1959,2,1,3,1,Gd,Y,1025,Normal,270000
RL,9900,1Fam,2Story,7,5,1993,Y,2646,2,1,4,1,Gd,Y,656,Normal,260000
RL,14115,1Fam,SLvl,7,5,1980,Y,1472,2,0,3,1,TA,Y,588,Normal,187500
RL,16259,1Fam,2Story,9,5,2006,Y,2596,3,1,4,1,Gd,N,840,Partial,342643
RL,12099,1Fam,2Story,8,5,2004,Y,2468,2,1,4,1,Gd,Y,872,Normal,354000
RL,10380,1Fam,2Story,7,5,1986,Y,2730,2,1,4,1,Gd,Y,576,Normal,301000
RM,5820,1Fam,1Story,3,8,1955,Y,1163,1,0,3,1,TA,N,220,Normal,126175
RL,11275,1Fam,SLvl,7,7,1967,Y,2978,2,1,5,1,Gd,Y,564,Normal,242000
RM,5000,1Fam,1.5Unf,5,6,1941,N,803,1,0,2,1,TA,N,360,Normal,87000
RL,10846,TwnhsE,1Story,8,5,1993,Y,1719,1,1,1,1,Gd,Y,473,Normal,324000
RL,11600,1Fam,1Story,6,5,1960,Y,1383,1,1,3,1,TA,N,292,Normal,145250
RL,11888,1Fam,2.5Unf,6,6,1916,N,2134,2,0,5,1,Gd,N,441,Normal,214500
RM,6402,1Fam,2Story,5,5,1920,N,1192,1,0,3,1,TA,N,189,Normal,78000
RL,10624,Duplex,1Story,5,4,1964,Y,1728,2,0,6,2,TA,N,352,Normal,119000
RL,8176,1Fam,1Story,5,6,1958,Y,1056,1,0,3,1,TA,N,308,Normal,139000
RL,10655,1Fam,1Story,8,5,2003,Y,1629,2,0,3,1,Gd,Y,880,Normal,284000
RM,8198,TwnhsE,1Story,7,5,2004,Y,1358,2,0,2,1,Gd,Y,484,Normal,207000
RL,9042,1Fam,2Story,6,5,1998,Y,1638,2,1,3,1,TA,Y,472,Normal,192000
RL,164660,2fmCon,1.5Fin,5,6,1965,Y,1786,2,0,3,1,TA,Y,529,Normal,228950
RL,14157,1Fam,1Story,9,5,2005,Y,1922,2,0,3,1,Gd,Y,676,Normal,377426
RL,9135,1Fam,1Story,7,5,2002,Y,1536,2,0,3,1,Gd,N,532,Normal,214000
RL,14145,1Fam,1Story,7,7,1984,Y,1621,2,0,3,1,Gd,N,440,Normal,202500
RL,12400,1Fam,1Story,6,7,1958,Y,1215,1,0,3,1,TA,N,297,Normal,155000
RL,14191,1Fam,2Story,8,5,2002,Y,1908,2,1,4,1,Gd,N,431,Normal,202900
RH,8400,1Fam,1Story,4,4,1950,Y,841,1,0,2,1,TA,N,294,Normal,82000
RL,8544,Duplex,1Story,3,4,1949,N,1040,2,0,2,2,TA,N,400,Normal,87500
RL,8849,TwnhsE,1Story,9,5,2005,Y,1684,2,0,2,1,Ex,Y,564,Normal,266000
RM,2592,TwnhsE,2Story,5,3,1976,Y,1112,1,1,3,1,TA,N,336,Normal,85000
RL,6435,1Fam,1.5Fin,6,5,1939,Y,1577,1,0,3,1,Fa,Y,312,Normal,140200
RL,12772,1Fam,1Story,6,8,1960,Y,958,1,0,2,1,TA,N,301,Normal,151500
RL,17600,1Fam,1Story,6,5,1960,Y,1478,2,0,3,1,TA,Y,498,Normal,157500
RL,2448,Twnhs,2Story,7,5,2003,Y,1626,2,1,2,1,Gd,N,474,Normal,154000
RL,20431,1Fam,2Story,9,5,2005,Y,2728,2,1,4,1,Ex,Y,706,Partial,437154
RL,7820,TwnhsE,1Story,9,5,2007,Y,1869,2,0,2,1,Ex,Y,617,Partial,318061
RL,5271,1Fam,1Story,7,5,1986,Y,1453,1,1,2,1,Gd,Y,445,Abnorml,190000
RL,9084,1Fam,1.5Fin,5,6,1941,N,1111,1,0,3,1,TA,N,200,Normal,95000
RM,8520,1Fam,1Story,6,8,1928,Y,720,1,0,2,1,TA,N,484,Normal,105900
RL,8400,1Fam,1.5Fin,6,5,1940,Y,1595,1,0,2,1,TA,Y,240,Normal,140000
RL,11249,1Fam,1Story,6,5,1995,Y,1200,2,0,3,1,Gd,N,521,Normal,177500
RL,9248,1Fam,1Story,6,6,1992,Y,1167,2,0,3,1,Gd,N,400,Normal,173000
RM,4224,TwnhsE,1Story,5,5,1976,Y,1142,1,1,3,1,TA,Y,528,Normal,134000
RL,6930,1Fam,SLvl,5,4,1958,Y,1352,1,0,3,1,Gd,N,288,Abnorml,130000
RL,12011,1Fam,2Story,8,5,1998,Y,1924,2,1,3,1,Gd,Y,592,Normal,280000
RL,7540,1Fam,SFoyer,6,6,1978,Y,912,1,0,2,1,TA,Y,470,Normal,156000
RL,9144,1Fam,1.5Fin,5,5,1940,Y,1505,1,0,3,1,TA,N,240,Normal,145000
RL,7301,1Fam,SFoyer,7,5,2003,Y,1922,3,0,4,1,Gd,Y,672,Normal,198500
RM,1680,Twnhs,2Story,6,8,1972,Y,987,1,1,2,1,Gd,N,264,Normal,118000
RL,18800,1Fam,2Story,6,5,1976,Y,1574,2,1,3,1,TA,Y,566,Normal,190000
RM,10690,1Fam,2Story,5,7,1920,Y,1344,1,0,3,1,TA,N,468,Normal,147000
RL,9500,1Fam,1Story,6,5,1963,Y,1394,1,1,3,1,TA,Y,514,Normal,159000
RL,9150,1Fam,SLvl,6,5,1962,Y,1431,1,0,3,1,TA,Y,296,Normal,165000
RL,7800,1Fam,1Story,5,6,1954,Y,1268,1,0,2,1,TA,Y,244,Normal,132000
RL,9830,1Fam,1Story,5,7,1959,Y,1287,1,0,3,1,Gd,Y,576,Normal,162000
RL,8121,1Fam,2Story,6,5,2000,Y,1664,2,1,3,1,TA,Y,460,Normal,172400
RL,17120,1Fam,1.5Fin,4,4,1959,Y,1588,2,0,4,1,TA,Y,680,Normal,134432
RL,7175,TwnhsE,1Story,6,5,1984,Y,752,1,0,2,1,TA,N,264,Normal,125000
RL,10634,1Fam,1Story,5,6,1953,Y,1319,1,0,3,1,TA,N,270,Normal,123000
RL,8200,1Fam,2Story,7,5,2003,Y,1928,2,1,4,1,Gd,Y,434,Normal,219500
RL,10020,1Fam,1Story,1,1,1922,N,904,0,1,1,1,Fa,N,0,Normal,61000
RL,8846,1Fam,SFoyer,5,5,1996,Y,914,1,0,2,1,TA,N,576,Normal,148000
FV,11143,1Fam,2Story,8,5,2004,Y,2466,3,0,4,1,Gd,Y,610,Normal,340000
RL,11394,1Fam,1Story,9,2,2010,Y,1856,1,1,1,1,Ex,Y,834,Partial,394432
RL,8123,1Fam,2Story,6,5,2000,Y,1800,2,1,3,1,TA,Y,463,Normal,179000
RL,5000,1Fam,1.5Fin,5,6,1924,Y,1691,2,0,3,1,Gd,Y,308,Normal,127000
FV,7200,1Fam,1Story,7,5,2006,Y,1301,2,0,2,1,Gd,Y,572,Partial,187750
RL,9245,1Fam,2Story,7,5,2006,Y,1797,2,1,3,1,Gd,N,639,Normal,213500
RH,9000,1Fam,1.5Unf,6,3,1928,N,784,1,0,2,1,TA,N,360,Normal,76000
RL,53107,1Fam,2Story,6,5,1992,Y,1953,2,1,3,1,Gd,Y,501,Normal,240000
RL,3182,TwnhsE,1Story,8,5,2004,Y,1269,2,0,2,1,Gd,Y,430,Normal,192000
RL,8410,1Fam,1.5Fin,5,3,1910,Y,1184,1,0,5,1,TA,N,0,AdjLand,81000
RL,7200,1Fam,SLvl,6,6,1976,Y,1125,1,0,3,1,TA,Y,352,Abnorml,125000
RL,9382,1Fam,1Story,7,5,1999,Y,1479,2,0,3,1,Gd,N,577,Normal,191000
RL,12474,1Fam,2Story,10,5,2007,Y,2332,2,1,3,1,Ex,Y,846,Partial,426000
RL,8405,1Fam,1.5Fin,5,8,1900,Y,1367,1,0,4,1,TA,N,384,Normal,119000
RL,12209,1Fam,2Story,6,5,2001,Y,1961,2,1,3,1,Gd,Y,560,Normal,215000
RL,8339,1Fam,1Story,5,7,1959,Y,882,1,0,3,1,TA,N,294,Normal,106500
RL,7446,1Fam,1Story,4,5,1941,Y,788,1,0,2,1,TA,Y,0,Abnorml,100000
RL,10134,1Fam,1.5Fin,5,6,1940,Y,1034,1,0,2,1,TA,N,240,Normal,109000
RL,9571,1Fam,1Story,5,6,1956,Y,1144,1,0,3,1,TA,N,596,Normal,129000
RL,7200,1Fam,1Story,5,5,1972,Y,894,1,0,2,1,TA,N,600,Normal,123000
RL,7590,1Fam,2Story,5,5,1962,Y,1812,2,0,4,1,TA,Y,264,Normal,169500
RM,8967,1Fam,1Story,5,2,1920,Y,1077,1,0,2,1,TA,N,338,Abnorml,67000
FV,8125,1Fam,2Story,7,5,2006,Y,1550,2,0,2,1,Gd,N,438,Normal,241000
RL,14963,TwnhsE,1Story,8,5,1996,Y,1288,1,1,1,1,Ex,Y,500,Normal,245500
RL,8767,1Fam,1Story,7,5,2005,Y,1310,2,0,3,1,Gd,Y,400,Partial,164990
RL,10200,1Fam,1Story,5,8,1940,Y,672,1,0,2,1,TA,N,240,Normal,108000
RL,12090,1Fam,2Story,8,5,1998,Y,2263,2,1,4,1,Gd,Y,420,Abnorml,258000
RL,10364,1Fam,2Story,6,5,1995,Y,1572,2,1,3,1,TA,Y,373,Normal,168000
RL,9991,1Fam,1Story,4,4,1976,Y,1620,2,0,3,1,TA,Y,490,Normal,150000
RL,10480,1Fam,1.5Fin,6,5,1936,Y,1639,1,0,3,1,TA,N,240,Normal,115000
RL,15576,1Fam,2Story,6,7,1915,Y,1680,2,0,4,1,TA,N,308,Normal,177000
RL,14154,1Fam,2Story,7,5,2006,Y,2172,2,1,3,1,Gd,Y,947,Partial,280000
FV,10800,1Fam,2Story,8,5,2007,Y,2078,2,1,3,1,Ex,Y,836,Partial,339750
RL,9571,1Fam,1Story,5,3,1958,Y,1276,1,0,3,1,TA,N,350,Abnorml,60000
RL,34650,2fmCon,1Story,5,5,1955,N,1056,1,0,3,1,TA,N,572,Normal,145000
FV,4403,1Fam,1Story,7,5,2009,Y,1478,2,1,2,1,Gd,Y,484,Partial,222000
RM,8960,1Fam,1Story,5,6,1927,Y,1028,1,0,2,1,TA,Y,360,Normal,115000
RL,11228,1Fam,2Story,7,5,1993,Y,2097,2,1,3,1,Gd,Y,678,Normal,228000
RL,8899,1Fam,1Story,7,5,2007,Y,1340,2,0,3,1,Gd,N,396,Partial,181134
RL,7844,1Fam,2Story,6,7,1978,Y,1400,1,1,3,1,TA,Y,440,Normal,149500
RL,22420,1Fam,2Story,6,6,1918,N,2624,2,1,4,1,TA,Y,864,Normal,239000
RL,8160,1Fam,1.5Fin,5,6,1940,N,1134,1,1,3,1,TA,N,240,AdjLand,126000
RL,8450,1Fam,1Story,5,6,1968,Y,1056,1,0,3,1,TA,Y,304,Normal,142000
RM,7060,Duplex,SFoyer,7,5,1997,Y,1344,2,0,2,2,TA,N,784,Alloca,206300
RL,16635,1Fam,1Story,6,7,1977,Y,1602,2,0,3,1,Gd,Y,529,Normal,215000
RL,21750,1Fam,1Story,5,5,1954,Y,988,1,0,2,1,TA,N,520,Normal,113000
RL,9200,1Fam,2Story,8,5,1998,Y,2630,2,1,4,1,Gd,Y,696,Normal,315000
RL,9000,1Fam,1Story,6,5,1956,Y,1196,1,0,2,1,TA,Y,297,Normal,139000
RM,3378,1Fam,2Story,7,8,1946,Y,1389,1,1,3,1,TA,Y,240,Normal,135000
RL,12800,1Fam,SLvl,7,5,1989,Y,1644,2,0,2,1,Gd,Y,569,Normal,275000
RL,8593,1Fam,1Story,4,6,1957,Y,907,1,0,3,1,TA,N,352,Normal,109008
RL,6762,1Fam,1Story,7,5,2007,Y,1208,2,0,2,1,Gd,N,628,Partial,195400
RL,11457,1Fam,1Story,6,5,1988,Y,1412,2,0,3,1,Gd,Y,576,Normal,175000
RM,1680,Twnhs,2Story,6,5,1971,Y,987,1,1,2,1,TA,N,264,Abnorml,85400
RM,5586,1Fam,1.5Fin,6,7,1920,Y,1198,1,0,4,1,TA,N,0,Abnorml,79900
RM,1920,TwnhsE,2Story,5,5,1971,Y,1365,1,1,2,1,TA,N,440,Normal,122500
RL,10839,1Fam,2Story,6,5,1997,Y,1604,2,1,3,1,TA,Y,470,Normal,181000
RM,1890,Twnhs,SFoyer,4,7,1972,Y,630,1,0,1,1,TA,N,0,Normal,81000
RL,10667,1Fam,2Story,7,6,1996,Y,1661,2,1,3,1,Gd,Y,550,Normal,212000
RM,4400,1Fam,1.5Fin,6,8,1920,Y,1118,1,0,2,1,TA,N,440,Normal,116000
RM,6000,1Fam,1.5Unf,6,7,1926,Y,904,1,0,2,1,TA,N,180,Normal,119000
RL,4280,1Fam,1Story,5,6,1913,N,694,1,0,2,1,Gd,Y,352,Normal,90350
RL,12354,1Fam,1.5Fin,6,8,1920,Y,1196,1,0,3,1,Gd,N,528,Normal,110000
RL,15431,1Fam,1Story,10,5,2008,Y,2402,2,0,2,1,Ex,Y,672,Normal,555000
RL,12108,Duplex,1Story,4,4,1955,N,1440,2,0,4,2,Fa,N,0,Normal,118000
RM,6240,1Fam,1.5Fin,5,7,1930,Y,1573,2,0,3,1,TA,Y,360,Normal,162900
RL,3922,TwnhsE,1Story,7,5,2006,Y,1258,2,0,2,1,Gd,Y,648,Partial,172500
RL,8750,1Fam,2Story,7,5,1994,Y,1908,2,1,4,1,Gd,Y,493,Normal,210000
RL,9855,1Fam,1Story,6,5,1956,Y,1689,1,0,3,1,TA,Y,480,Normal,127500
RL,16492,1Fam,1Story,6,6,1966,Y,1888,2,1,2,1,Gd,Y,578,Normal,190000
RL,11214,1Fam,2Story,7,5,1998,Y,1886,2,1,4,1,Gd,Y,431,Normal,199900
RM,8600,1Fam,1.5Fin,6,6,1937,Y,1376,2,0,3,1,TA,Y,198,Normal,119500
RM,6000,1Fam,1.5Fin,3,7,1948,Y,1183,1,1,2,1,TA,N,308,Normal,120000
RM,5684,1Fam,1Story,6,8,1930,Y,813,1,0,2,1,Gd,N,270,Normal,110000
RL,70761,1Fam,1Story,7,5,1975,Y,1533,2,0,2,1,Gd,Y,576,Normal,280000
RL,9303,1Fam,2Story,6,5,1996,Y,1756,2,1,3,1,TA,N,422,Normal,204000
FV,9000,1Fam,2Story,8,5,2008,Y,1590,2,1,3,1,Gd,N,676,Normal,210000
RL,9297,Duplex,1Story,5,5,1976,Y,1728,2,0,4,2,TA,N,560,Family,188000
RL,9600,1Fam,1Story,7,6,1973,Y,1242,1,1,3,1,TA,Y,528,Normal,175500
RM,4571,1Fam,2Story,5,5,1916,N,1344,1,0,4,1,TA,N,513,Abnorml,98000
RL,53227,1Fam,1Story,4,6,1954,Y,1663,1,0,2,1,Gd,Y,529,Normal,256000
RM,5100,1Fam,2Story,8,7,1925,Y,1666,1,0,3,1,Gd,Y,228,Normal,161000
RL,7015,1Fam,1.5Fin,5,4,1950,Y,1203,1,0,3,1,Gd,Y,352,Normal,110000
FV,8004,1Fam,2Story,8,5,2009,Y,1935,2,1,3,1,TA,N,552,Partial,263435
RL,7200,1Fam,2Story,7,9,1936,Y,1135,1,0,3,1,Gd,N,576,Normal,155000
RL,8281,1Fam,1Story,5,5,1965,Y,864,1,0,3,1,TA,Y,360,Normal,62383
RL,11988,1Fam,2Story,6,7,1934,Y,1660,1,1,3,1,TA,Y,240,Normal,188700
RL,8430,1Fam,1Story,5,5,1978,Y,1040,2,0,3,1,TA,N,0,Normal,124000
RM,3072,TwnhsE,1Story,7,5,2004,Y,1414,2,0,2,1,Gd,Y,398,Normal,178740
RL,10628,1Fam,1Story,7,5,1970,Y,1277,1,0,2,1,TA,Y,526,Normal,167000
RL,9480,1Fam,2Story,5,7,1942,Y,1644,1,1,3,1,Gd,Y,312,Normal,146500
RL,11428,1Fam,1Story,8,5,2006,Y,1634,2,0,3,1,Gd,Y,866,Normal,250000
RL,9291,1Fam,2Story,6,5,1993,Y,1710,2,1,3,1,Gd,N,506,Normal,187000
RL,6820,TwnhsE,1Story,8,5,1985,Y,1502,1,1,1,1,Gd,N,528,Normal,212000
RL,11952,1Fam,2Story,7,6,1977,Y,1969,2,1,3,1,TA,Y,534,Normal,190000
RM,3675,TwnhsE,SLvl,6,5,2005,Y,1072,1,0,2,1,TA,N,525,Normal,148000
RL,14977,1Fam,1Story,8,5,2006,Y,1976,2,0,2,1,Gd,Y,908,Partial,440000
RL,5330,TwnhsE,1Story,8,5,2000,Y,1652,2,0,2,1,Ex,N,499,Normal,251000
RL,8480,1Fam,1Story,5,6,1963,Y,970,1,0,2,1,TA,N,624,Normal,132500
RL,13125,1Fam,1Story,6,5,1997,Y,1493,2,0,3,1,Gd,Y,508,Normal,208900
RL,13693,1Fam,2Story,9,5,2006,Y,2643,2,1,3,1,Ex,Y,694,Normal,380000
RL,10637,1Fam,1Story,8,5,2007,Y,1718,2,0,3,1,Gd,Y,826,Normal,297000
RM,5925,1Fam,1Story,4,7,1937,Y,1131,1,0,2,1,TA,N,672,Alloca,89471
RL,16033,1Fam,1Story,9,5,2004,Y,1850,2,0,3,1,Gd,Y,772,Normal,326000
RL,11846,1Fam,1Story,9,5,2003,Y,1792,2,0,2,1,Ex,Y,874,Normal,374000
RM,2500,1Fam,2Story,7,8,1915,Y,1826,1,1,4,1,Ex,Y,164,Normal,155000
RM,4500,Twnhs,1Story,6,5,1998,Y,1216,2,0,2,1,TA,N,402,Normal,164000
RL,7758,1Fam,1Story,5,7,1962,Y,999,1,0,3,1,Gd,N,264,Normal,132500
RL,9600,1Fam,1Story,5,7,1950,Y,1113,1,0,3,1,Gd,Y,264,Normal,147000
RL,10289,1Fam,1Story,5,7,1965,Y,1073,1,1,3,1,TA,N,515,Normal,156000
RL,12243,1Fam,1Story,5,6,1971,Y,1484,2,0,3,1,TA,Y,487,Normal,175000
RL,10800,2fmCon,1.5Fin,5,4,1900,N,2414,2,0,3,2,TA,Y,520,Normal,160000
RM,1526,Twnhs,SFoyer,4,8,1970,Y,630,1,0,1,1,Gd,N,286,Normal,86000
RM,2665,TwnhsE,2Story,5,6,1976,Y,1304,1,1,3,1,TA,Y,336,Normal,115000
RL,9490,1Fam,1.5Fin,6,7,1941,Y,1578,1,0,3,1,Fa,Y,240,Normal,133000
RL,15578,1Fam,2Story,6,5,2006,Y,1456,2,1,3,1,TA,N,429,Partial,172785
RL,7931,1Fam,1Story,5,6,1960,Y,1269,1,1,3,1,TA,Y,308,Normal,155000
RM,5784,1Fam,1Story,5,8,1938,Y,886,1,0,2,1,TA,N,273,Normal,91300
C (all),7879,1Fam,1Story,4,5,1920,N,720,1,0,2,1,TA,N,0,Abnorml,34900
RL,12692,1Fam,1Story,8,5,1992,Y,3228,3,0,4,1,Gd,Y,546,Normal,430000
RL,9120,1Fam,1.5Fin,7,6,1925,Y,1820,2,0,4,1,TA,N,240,Normal,184000
RL,7800,1Fam,1Story,5,7,1967,Y,899,1,0,3,1,Gd,N,288,Normal,130000
RL,7535,1Fam,1Story,5,7,1958,Y,912,1,0,2,1,TA,N,297,Normal,120000
RM,1890,Twnhs,2Story,6,5,1973,Y,1218,1,1,3,1,TA,N,264,Normal,113000
FV,9803,1Fam,2Story,7,5,2005,Y,1768,2,1,3,1,Gd,N,603,Normal,226700
RL,9170,1Fam,1Story,5,7,1965,Y,1214,1,0,2,1,TA,N,461,Normal,140000
RL,15602,1Fam,1Story,7,8,1959,Y,1801,2,0,1,1,TA,Y,484,Normal,289000
RL,2308,TwnhsE,2Story,6,5,1974,Y,1322,2,1,3,1,TA,Y,440,Normal,147000
RM,7596,Duplex,2Story,5,5,1952,Y,1960,2,0,4,2,TA,N,400,Normal,124500
RL,9554,1Fam,2Story,8,5,1993,Y,1911,2,1,3,1,Gd,Y,471,Normal,215000
FV,7862,1Fam,1Story,6,5,2009,Y,1218,2,0,2,1,Gd,N,676,Partial,208300
RM,9600,1Fam,2Story,7,9,1928,Y,1378,2,0,3,1,Gd,Y,360,Normal,161000
RL,9600,1Fam,1Story,5,6,1959,Y,1041,1,0,3,1,TA,N,270,Normal,124500
RL,14559,1Fam,1Story,5,7,1951,Y,1363,1,0,2,1,TA,Y,288,Normal,164900
RL,6792,TwnhsE,1Story,7,5,2005,Y,1368,2,0,2,1,Gd,Y,474,Partial,202665
RL,9100,1Fam,1Story,5,5,1958,Y,864,1,0,3,1,TA,N,624,Normal,129900
RL,9187,1Fam,1Story,6,5,1983,Y,1080,1,1,3,1,TA,N,484,Normal,134000
RL,10594,1Fam,1.5Unf,5,5,1926,N,789,1,0,2,1,TA,N,200,Normal,96500
RL,12220,1Fam,1Story,10,5,2009,Y,2020,2,1,3,1,Ex,Y,900,Partial,402861
RL,10448,1Fam,SLvl,6,6,1972,Y,2119,2,1,3,1,TA,Y,583,Abnorml,158000
RL,10208,1Fam,2Story,7,5,1996,Y,2344,2,1,3,1,Gd,Y,889,Normal,265000
RL,9531,1Fam,2Story,6,5,1998,Y,1796,2,1,3,1,TA,N,546,Normal,211000
RL,10918,1Fam,2Story,7,9,1926,Y,2080,1,1,3,1,Gd,Y,282,Normal,234000
RL,10800,2fmCon,2Story,4,7,1900,N,1294,2,0,3,2,TA,N,0,Normal,106250
RL,11988,1Fam,1Story,6,6,1957,Y,1244,1,1,3,1,TA,Y,336,Normal,150000
RM,5000,1Fam,1.5Fin,6,7,1947,Y,1664,2,0,3,1,TA,Y,420,Normal,159000
RL,40094,1Fam,2Story,10,5,2007,Y,4676,3,1,3,1,Ex,Y,884,Partial,184750
RL,11787,1Fam,2Story,7,5,1996,Y,2398,2,1,3,1,Gd,Y,834,Normal,315750
FV,7500,1Fam,1Story,7,5,2005,Y,1266,2,0,3,1,Gd,Y,453,Normal,176000
RL,13300,1Fam,1Story,5,7,1956,Y,928,1,0,2,1,TA,N,252,Normal,132000
RL,14948,1Fam,2Story,9,5,2008,Y,2713,2,1,3,1,Ex,Y,858,Partial,446261
RL,9098,1Fam,1Story,4,7,1920,Y,605,1,0,2,1,TA,N,0,Normal,86000
RL,32668,1Fam,1Story,6,3,1957,Y,2515,3,0,4,2,TA,Y,484,Alloca,200624
RL,10200,1Fam,SLvl,6,5,1988,Y,1509,2,0,3,1,Gd,Y,600,Abnorml,175000
RM,6155,1Fam,2Story,6,8,1920,Y,1362,2,0,3,1,TA,N,502,Normal,128000
RL,7200,1Fam,1Story,5,7,1955,Y,827,1,0,2,1,TA,Y,392,Normal,107500
RL,5000,1Fam,1Story,1,3,1946,N,334,1,0,1,1,Fa,N,0,Normal,39300
